LATITUDES,LONGITUDES
45.5202471,-122.674194
32.7355816,-97.1071186
44.9712808,-116.284017
46.3144754,11.0480288
29.7589382,-95.3676974
43.0481221,-76.1474244
34.0536909,-118.242766
32.7762719,-96.7968559
34.2661558,-118.5174342
41.5235808,-90.5770967
36.1672559,-115.148516
-34.9206797,-57.9537638
42.3222599,-83.1763145
35.996653,-78.9018053
44.6789109,-84.1467693
42.5584264,-71.268947
39.9622601,-83.0007065
39.100105,-94.5781416
40.7127281,-74.0060152
39.7392364,-104.984862
43.157285,-77.615214
26.8233946,-80.1386547
42.3238056,-83.4005321
44.9772995,-93.2654692
33.870413,-117.9962165
41.2587459,-95.9383758
33.1958696,-117.3794834
46.4195913,-117.0216144
51.20707485,0.7210361813401444
42.3875968,-71.0994968
28.5977707,-81.3510264
33.9528472,-84.5496148
35.2072185,-101.833824
43.0349931,-87.922497
41.8775293,-88.0670118
40.0959055,-80.724526
37.5420937,-98.122172
34.9379274,-80.6686791
40.7135078,-73.8283132
40.4416941,-79.9900861
43.5737361,-116.559631
33.8062166,-84.1457505
34.8496625,-76.5931208
36.2659698,-95.8548557
47.6571934,-117.42351
40.29066735,-75.21070232492798
40.4278841,-74.415984
39.3530598,-100.4576457
40.8894611,-111.8804817
42.7262016,-71.1908924
39.2908816,-76.610759
45.1193908,-93.4024558
41.0799898,-85.1386015
-41.2710849,173.2836756
40.735657,-74.1723667
41.8755616,-87.6244212
37.4761991,-83.6749145
32.4146577,-82.0930776
40.6526006,-73.9497211
43.9555406,-86.4477416
40.966005,-124.102789774524
43.2560802,-79.8728583
24.68926855,-81.36890042063636
41.3673191,-82.1073583
40.3014581,-79.5389289
39.9527237,-75.1635262
38.6280278,-90.1910154
40.7970382,-74.4809868
33.9533546,-117.3961623
34.8253019,-116.0833144
27.7635302,-97.4033191
38.1040864,-122.2566367
51.7854839,6.131367415330141
50.8214626,-0.1400561
36.3401384,-80.4742242
37.7790262,-122.419906
40.7381635,-74.0550731
29.4246002,-98.4951405
45.4417481,-84.4768486
47.5034,-95.001117
41.6833813,-86.2500066
