ID,PLATFORM,BOT,BROWSER,DIST
1001,Windows,False,Chrome,
1002,Mac OS,False,Safari,
1003,Mac OS,False,Safari,
1004,Windows,False,ChromiumEdge,
1005,iOS,False,Safari,iPhone
1006,Mac OS,False,Safari,
1007,Mac OS,False,Chrome,
1008,iOS,False,Safari,iPhone
1009,iOS,False,Safari,iPhone
1010,Windows,False,Chrome,
1011,Mac OS,False,Chrome,
1012,Windows,False,ChromiumEdge,
1013,Windows,False,Chrome,
1014,Windows,False,ChromiumEdge,
1015,Windows,False,Chrome,
1016,iOS,False,Safari,iPhone
1017,Windows,False,Chrome,
1018,Windows,False,Chrome,
1019,Windows,False,Chrome,
1020,iOS,False,Safari,iPhone
1021,Mac OS,False,Chrome,
1022,Windows,False,Chrome,
1024,Windows,False,Chrome,
1026,Windows,False,ChromiumEdge,
1027,Windows,False,Chrome,
1028,Windows,False,Chrome,
1029,Windows,False,ChromiumEdge,
1030,Windows,False,Firefox,
1031,Windows,False,Chrome,
1032,iOS,False,Safari,IPad
1033,Windows,False,ChromiumEdge,
1035,iOS,False,Safari,IPad
1036,Mac OS,False,Chrome,
1037,Windows,False,Chrome,
1038,Windows,False,ChromiumEdge,
1039,Windows,False,Chrome,
1040,Mac OS,False,Chrome,
1042,Windows,False,Chrome,
1043,Windows,False,Chrome,
1044,Android,False,Chrome,Android
1045,Windows,False,ChromiumEdge,
1046,Android,False,Chrome,Android
1047,Windows,False,Chrome,
1048,iOS,False,Safari,iPhone
1049,Windows,False,ChromiumEdge,
1050,Mac OS,False,Chrome,
1051,Windows,False,Chrome,
1052,Mac OS,False,Chrome,
1053,Windows,False,ChromiumEdge,
1054,Mac OS,False,Safari,
1055,Android,False,Chrome,Android
1056,iOS,False,ChromeiOS,iPhone
1057,Windows,False,Chrome,
1058,Windows,False,Chrome,
1059,Android,False,Chrome,Android
1060,Windows,False,Chrome,
1061,Mac OS,False,Safari,
1062,Windows,False,ChromiumEdge,
1063,Mac OS,False,Safari,
1065,Mac OS,False,Safari,
1066,iOS,False,Safari,iPhone
1067,Windows,False,Chrome,
1068, ChromeOS,False,Chrome,
1069,Windows,False,ChromiumEdge,
1070,Windows,False,Chrome,
1071,Windows,False,Chrome,
1072,iOS,False,Safari,iPhone
1073,Android,False,Chrome,Android
1074,Mac OS,False,Safari,
1075,Mac OS,False,Chrome,
1076,iOS,False,Safari,IPad
1077,Windows,False,Chrome,
1079,Windows,False,Chrome,
1080,Mac OS,False,Firefox,
1081,Windows,False,ChromiumEdge,
1082,Android,False,Chrome,Android
1083,Windows,False,Chrome,
1084,iOS,False,Safari,iPhone
1085,Android,False,Chrome,Android
1086,Mac OS,False,Chrome,
1087,Windows,False,Chrome,
1089, ChromeOS,False,Chrome,
1090,iOS,False,,iPhone
1091,Windows,False,Chrome,
1092,iOS,False,ChromeiOS,IPad
1094,Windows,False,Chrome,
1095,Windows,False,Chrome,
1096,Mac OS,False,Safari,
1097, ChromeOS,False,Chrome,
1098,iOS,False,Safari,IPad
1099,Windows,False,ChromiumEdge,
1100,Windows,False,ChromiumEdge,
1101,Windows,False,Chrome,
1103,Android,False,Chrome,Android
1104,iOS,False,Safari,iPhone
1106,iOS,False,Safari,IPad
1107,Windows,False,Chrome,
1108,Windows,False,Chrome,
1109,Mac OS,False,Safari,
1110,Mac OS,False,Chrome,
1111,Windows,False,Chrome,
1112,iOS,False,Safari,iPhone
1113,iOS,False,Safari,iPhone
1114,iOS,False,ChromeiOS,IPad
1115,iOS,False,,IPad
1116,iOS,False,Safari,iPhone
1117,Windows,False,Chrome,
1118,Mac OS,False,Safari,
1119,iOS,False,,iPhone
1120,iOS,False,Safari,iPhone
1121,Mac OS,False,Chrome,
1122,Windows,False,Chrome,
1123,Windows,False,ChromiumEdge,
1124,Windows,False,Chrome,
1125,Mac OS,False,Safari,
1126,iOS,False,Safari,iPhone
1127,iOS,False,Safari,iPhone
1128,Android,False,Chrome,Android
1129,iOS,False,Safari,IPad
1130,iOS,False,Safari,iPhone
1131,iOS,False,ChromeiOS,iPhone
1132,Windows,False,Firefox,
1133,Windows,False,ChromiumEdge,
1134,Mac OS,False,Safari,
1135,Android,False,Chrome,Android
1136,Windows,False,Chrome,
1137,Windows,False,Chrome,
1138,Windows,False,Chrome,
1139,Windows,False,Chrome,
1140,iOS,False,Safari,iPhone
1141,Windows,False,Chrome,
1142,Mac OS,False,Chrome,
1143,iOS,False,Safari,iPhone
1144,Windows,False,ChromiumEdge,
1145,Windows,False,Chrome,
1146,Windows,False,ChromiumEdge,
